step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,A0_stopped,A0_accumulated_waiting_time,A0_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_rewards
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,1,0.0,0.0,3.350874020811171,1,0.0,0.23544164649835878,1,0.0,-0.6
10.0,0,0.0,0.0,7.499181019915131,0,0.0,0.5333746347365239,0,0.0,0.0
15.0,2,0.0,0.0,9.20024180953351,2,0.0,0.6517053579943639,2,0.0,-1.2
20.0,2,0.0,0.0,10.418152375492763,2,0.0,0.751118703343294,2,0.0,-1.2
25.0,2,1.0,0.03571428571428571,10.029325689883771,2,1.0,0.7351056881293004,2,1.0,-1.2
30.0,6,14.0,0.4,8.195231674199706,6,14.0,0.5970936346341288,6,14.0,-3.5999999999999996
35.0,6,31.0,0.7560975609756098,7.2809252632443835,6,31.0,0.523032468829378,6,31.0,-3.5999999999999996
40.0,13,76.0,1.6170212765957446,7.513133782675883,13,76.0,0.49862360060133915,13,76.0,-7.8
45.0,17,148.0,2.8461538461538463,7.537427789104438,17,148.0,0.46243616051721265,17,148.0,-10.2
50.0,16,137.0,2.3620689655172415,6.72158645859098,16,185.0,0.4027122456948619,16,185.0,-9.6
55.0,17,194.0,3.129032258064516,6.8542790372988,17,207.0,0.4104346031848478,17,207.0,-10.2
60.0,18,196.0,3.0153846153846153,6.32492293312258,18,252.0,0.37718146643655176,18,252.0,-10.799999999999999
65.0,24,284.0,4.057142857142857,6.480786189922269,24,307.0,0.3761441633175453,24,307.0,-14.399999999999999
70.0,32,419.0,5.662162162162162,5.913281973624878,32,432.0,0.3238952378733377,32,432.0,-19.2
75.0,31,358.0,4.64935064935065,5.402720151751516,31,506.0,0.2914860308576149,31,506.0,-18.599999999999998
80.0,29,384.0,4.7407407407407405,5.914439549637604,29,520.0,0.31633165836398264,29,520.0,-17.4
85.0,31,393.0,4.7926829268292686,5.109022410322482,31,622.0,0.2813617286498156,31,622.0,-18.599999999999998
90.0,36,487.0,5.597701149425287,4.858984060801477,36,698.0,0.2517817190141625,36,698.0,-21.599999999999998
95.0,42,597.0,6.633333333333334,4.787422593200819,42,840.0,0.26118297811502045,42,840.0,-25.2
100.0,44,785.0,8.440860215053764,4.476537641300372,44,999.0,0.23397976942413187,44,999.0,-26.4
105.0,54,1037.0,10.581632653061224,4.6070965028894335,54,1237.0,0.2219422511779294,54,1237.0,-32.4
110.0,58,1313.0,13.821052631578947,4.070749734083565,58,1509.0,0.19404112301099802,58,1509.0,-34.8
115.0,62,1613.0,16.628865979381445,3.5700438245466923,62,1809.0,0.13305617560737068,62,1809.0,-37.199999999999996
120.0,64,1586.0,16.872340425531913,2.784992575113929,64,2004.0,0.10771222858311076,64,2004.0,-38.4
125.0,60,1391.0,14.797872340425531,2.893021878307429,60,2075.0,0.11786125319257355,60,2075.0,-36.0
130.0,54,1174.0,12.357894736842105,2.7875741606374667,54,2221.0,0.10864439229157957,54,2221.0,-32.4
135.0,45,886.0,9.425531914893616,3.165074012563451,45,2179.0,0.13303091888143267,45,2179.0,-27.0
140.0,43,867.0,8.846938775510203,3.773374610915355,43,2206.0,0.14002693571812172,43,2206.0,-25.8
145.0,46,1012.0,10.652631578947368,3.4098824575293576,46,2277.0,0.13781193841113504,46,2277.0,-27.599999999999998
150.0,51,1156.0,12.43010752688172,3.1553234039728295,51,2205.0,0.09600210320444788,51,2205.0,-30.599999999999998
155.0,55,1268.0,14.088888888888889,3.094428424074352,55,2347.0,0.07697151327731733,55,2347.0,-33.0
160.0,56,1470.0,17.5,2.1664962217763324,56,2624.0,0.04175520247937092,56,2624.0,-33.6
165.0,59,1731.0,21.37037037037037,1.6601095455513868,59,2906.0,0.03727388388526087,59,2906.0,-35.4
170.0,65,2039.0,26.48051948051948,0.6598086436938704,65,3214.0,0.009427893003148925,65,3214.0,-39.0
175.0,70,2379.0,32.148648648648646,0.011453775272139288,70,3555.0,0.0008173981869651633,70,3555.0,-42.0
180.0,68,2535.0,34.25675675675676,0.22992315178844974,68,3760.0,0.006372727952122649,68,3760.0,-40.8
185.0,60,2601.0,35.148648648648646,1.1908459587309943,60,3803.0,0.0300714809854075,60,3803.0,-36.0
190.0,56,2337.0,31.58108108108108,1.5004916692320278,56,3881.0,0.01935412228284082,56,3881.0,-33.6
195.0,51,1752.0,23.675675675675677,2.507218872636521,51,3760.0,0.04124780627300859,51,3760.0,-30.599999999999998
200.0,43,1386.0,19.25,3.3066279895184594,43,3538.0,0.07954993411428923,43,3538.0,-25.8
205.0,33,969.0,14.25,3.5541417092918883,33,3438.0,0.09756650291139185,33,3438.0,-19.8
210.0,29,679.0,10.134328358208956,4.155663578678115,29,3226.0,0.10320526877984448,29,3226.0,-17.4
215.0,23,295.0,4.609375,4.25702011520611,23,3084.0,0.08552606445857677,23,3084.0,-13.799999999999999
220.0,28,208.0,3.6491228070175437,4.014631992651489,28,2887.0,0.08435469652541148,28,2887.0,-16.8
225.0,30,309.0,5.9423076923076925,2.6507677617295977,30,2853.0,0.025875993496042356,30,2853.0,-18.0
230.0,27,398.0,7.653846153846154,4.106127369243044,27,2651.0,0.06487074879644694,27,2651.0,-16.2
235.0,16,308.0,6.416666666666667,4.438196708322824,16,2465.0,0.09891667470683965,16,2465.0,-9.6
240.0,13,130.0,2.9545454545454546,4.8970655622140296,13,2081.0,0.11696201091090642,13,2081.0,-7.8
245.0,12,76.0,1.8095238095238095,5.074788485569604,12,1904.0,0.0962830191090364,12,1904.0,-7.199999999999999
250.0,10,88.0,2.3783783783783785,5.545721204440438,10,1677.0,0.11528244147598751,10,1677.0,-6.0
255.0,15,92.0,2.6285714285714286,5.258621722074107,15,1559.0,0.051848239788885246,15,1559.0,-9.0
260.0,21,188.0,6.064516129032258,4.351893017564126,21,1655.0,0.00022157495736264122,21,1655.0,-12.6
265.0,15,176.0,7.04,2.7975417482815303,15,1529.0,0.028481752555882676,15,1529.0,-9.0
270.0,9,134.0,5.826086956521739,4.8101951525053535,9,1167.0,0.09666581836985318,9,1167.0,-5.3999999999999995
275.0,10,181.0,7.869565217391305,5.712141325526107,10,1128.0,0.06400190767064944,10,1128.0,-6.0
280.0,14,243.0,11.571428571428571,4.572414581609039,14,1190.0,0.0006952828641060159,14,1190.0,-8.4
285.0,8,126.0,6.631578947368421,4.841696818055987,8,1068.0,0.04800785191467949,8,1068.0,-4.8
290.0,5,69.0,4.6,6.845967912392609,5,745.0,0.1775163852761999,5,745.0,-3.0
295.0,6,96.0,6.857142857142857,6.4436370008527035,6,714.0,0.0031126936937752635,6,714.0,-3.5999999999999996
300.0,7,131.0,9.357142857142858,6.546938389411783,7,749.0,0.0,7,749.0,-4.2
305.0,7,166.0,12.76923076923077,6.39140967427734,7,784.0,0.0,7,784.0,-4.2
310.0,7,201.0,28.714285714285715,0.0,7,819.0,0.0,7,819.0,-4.2
315.0,5,194.0,27.714285714285715,1.690253605464074,5,685.0,0.0,5,685.0,-3.0
320.0,5,219.0,31.285714285714285,3.644372950453021,5,710.0,0.0,5,710.0,-3.0
325.0,2,93.0,13.285714285714286,5.302291612500899,2,570.0,0.11063099992490266,2,570.0,-1.2
330.0,0,0.0,0.0,10.061796612802501,0,266.0,0.5116834057235571,0,266.0,0.0
335.0,0,0.0,0.0,10.943171010371929,0,0.0,1.0,0,0.0,0.0
340.0,0,0.0,0.0,12.674842530619383,0,0.0,1.0,0,0.0,0.0
345.0,0,0.0,0.0,12.41184803143509,0,0.0,1.0,0,0.0,0.0
350.0,0,0.0,0.0,10.695973109990426,0,0.0,1.0,0,0.0,0.0
355.0,0,0.0,0.0,10.250594898267991,0,0.0,1.0,0,0.0,0.0
360.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
365.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
370.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
375.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
380.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
385.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
390.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
395.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
400.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
405.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
410.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
415.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
420.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
425.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
430.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
435.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
